czech,english,block_id,grammar_chunk_id
hračka,toy,,
věž,tower,,
ručník,towel,,
přímý,direct,,
prohlásit,declare,,
zavřít,shut,,
cesta,journey,,
hlas,voice,,
povýšit,elevate,,
výtah,elevator,,
nenávist,hate,, 
řádek,line,,
přes,over,,
táhnout,pull,,
prsten,ring,,
podobný,similar,,
rychlost,speed,,
než,than,,
nad,above,,
začít,begin,,
století,century,,
zvážit,consider,,
nebezpečný,dangerous,,
výměna,exchange,,
vláda,government,,
slyšet,hear,,
skákat,jump,,
materiál,material,,
minulost,past,,
produkovat,produce,,
odstranit,remove,,
tajemství,secret,,
píseň,song,,
televize,television,,
hodnota,value,,
kdy,when,,
za,behind,,
případ,case,,
sbírat,collect,,
kreslit,draw,,
já pracuji,I work,30,26
ty pracuješ,you work,30,26
on pracuje,he works,30,26
ona pracuje,she works,30,26
ono pracuje,it works,30,26
my pracujeme,we work,30,26
vy pracujete,you work,30,26
oni pracují,they work,30,26
Jím chléb.,I eat bread.,,26
Piješ vodu.,You drink water.,,26
Čte knihu. (on),He reads a book.,,26
Píše dopis. (ona),She writes a letter.,,26
Je to malé.,It is small.,,26
Máme auto.,We have a car.,,26
Učíte studenty.,You teach students.,,26
Hrají fotbal.,They play football.,,26
