czech,english,block_id,grammar_chunk_id
vděčný,grateful,,
bruslení,skating,,
dřez,sink,,
jednotného čísla,singular,,
absolvovat,graduate,,
móda,fashion,,
fascinovat,fascinate,,
fascinující,fascinating,,
semestr,semester,,
zlatý,golden,,
golf,golf,,
květ,bloom,,
jízdné,fare,,
dobře vypadající,good-looking,,
fantastický,fantastic,,
módní,fancy,,
vysvětlení,explanation,,
jednoduše,simply,,
pád,fall,,
spravedlivě,fairly,,
podprsenka,bra,,
milost,grace,,
selhat,fail,,
krev,blood,,
Budu volat?,Am I going to call?,61,58
Budeš vařit?,Are you going to cook?,61,58
Začne?,Is he going to start?,61,58
Odjede?,Is she going to leave?,61,58
Spadne?,Is it going to fall?,61,58
Zůstaneme?,Are we going to stay?,61,58
Vyhrajete?,Are you going to win?,61,58
Přijedou?,Are they going to arrive?,61,58
Budu mu volat po schůzce?,Am I going to call him after the meeting?,,58
Budeš dnes vařit pro hosty?,Are you going to cook for the guests today?,,58
Začne on nový kurz v září?,Is he going to start a new course in September?,,58
Odjede ona zítra ráno?,Is she going to leave tomorrow morning?,,58
Spadne to při bouřce?,Is it going to fall in the storm?,,58
Zůstaneme o víkendu doma?,Are we going to stay home at the weekend?,,58
Vyhrajete letos soutěž?,Are you going to win the competition this year?,,58
Přijedou oni před obědem?,Are they going to arrive before lunch?,,58
