czech,english,block_id,grammar_chunk_id
činidlo,agent,,
divit se,wonder,,
balkón,balcony,,
nedůležité,unimportant,,
učebnice,textbook,,
textovou zprávu,text message,,
nezapomenutelný,unforgettable,,
planeta,planet,,
v,within,,
zrcadlo,mirror,,
trouba,oven,,
nešťastný,unhappy,,
vyděsit,terrify,,
dřevěný,wooden,,
nad,over,,
jednotný,uniform,,
nabízet,offer,,
vlna,wool,,
minerální voda,mineral water,,
nalít,pour,,
přání,wish,,
ve věku,aged,,
nezdravý,unhealthy,,
jejich,theirs,,
já jsem dříve plaval,I used to swim,91,91
ty jsi dříve kouřil,you used to smoke,91,91
on dříve pracoval v bance,he used to work in a bank,91,91
ona dříve tančila,she used to dance,91,91
ono dříve fungovalo,it used to work,91,91
my jsme dříve bydleli v Brně,we used to live in Brno,91,91
vy jste dříve jezdili vlakem,you used to travel by train,91,91
oni dříve hráli spolu,they used to play together,91,91
Dříve jsem každé ráno plaval v řece.,I used to swim in the river every morning.,,91
"Dříve jsi kouřil, ale teď už ne.","You used to smoke, but you don't anymore.",,91
Dříve pracoval v bance.,He used to work in a bank.,,91
Dříve tančila v místní skupině.,She used to dance in a local group.,,91
Dříve to fungovalo mnohem lépe.,It used to work much better.,,91
Dříve jsme bydleli v Brně.,We used to live in Brno.,,91
Dříve jste jezdili do práce vlakem.,You used to travel to work by train.,,91
Dříve hráli každý víkend spolu.,They used to play together every weekend.,,91
