czech,english,block_id,grammar_chunk_id
ohrožený,endangered,,
mýdlo,soap,,
sluchátka,headphone,,
ředitel školy,headteacher,,
podporovat,encourage,,
školák,schoolchild,,
vědecký,scientific,,
prázdný,empty,,
vytápět,heat,,
teplo,heat,,
topení,heating,,
vynořit se,emerge,,
stav nouze,emergency,,
těžce,heavily,,
trapný,embarrassing,,
rozpis,schedule,,
e-mail,email,,
jinde,elsewhere,,
ponožka,sock,,
užitečný,helpful,,
povýšit,elevate,,
výtah,elevator,,
nenávist,hate,,
obrovský,enormous,,
Na čem pracuji?,What have I been working on?,73,70
Co čteš?,What have you been reading?,73,70
Na koho čeká?,Who has he been waiting for?,73,70
Kde běhá?,Where has she been running?,73,70
Jak dlouho prší?,How long has it been raining?,73,70
Co studujeme?,What have we been studying?,73,70
Kam cestujete?,Where have you been travelling?,73,70
Co hrají?,What have they been playing?,73,70
Na čem pracuji celé ráno?,What have I been working on all morning?,,70
Co čteš před spaním?,What have you been reading before bed?,,70
Na koho čeká před nádražím?,Who has he been waiting for outside the station?,,70
Kde běhá každé ráno?,Where has she been running every morning?,,70
Jak dlouho už prší?,How long has it been raining?,,70
Co studujeme celý týden?,What have we been studying all week?,,70
Kam cestujete během dovolené?,Where have you been travelling during your holiday?,,70
Co hrají celé odpoledne?,What have they been playing all afternoon?,,70
