czech,english,,
borovice,pine,,
šiška,pine,,
ananas,pineapple,,
vážné,serious,,
zeměpis,geography,,
zeměpisné,geographical,,
geologie,geology,,
gesto,gesture,,
mezera,gap,,
připíchnout,pin,,
obří,giant,,
sekvence,sequence,,
nadaný,gifted,,
chichotat se,giggle,,
zázvor,ginger,,
žirafa,giraffe,,
zrudnout,blush,,
nalodit se,board,,
pocit,sensation,,
příchod,arrival,,
příjemně,pleasantly,,
ostuda,shame,,
přívětivost,friendliness,,
mít,possess,,
mělký,shallow,,
zdvořile,politely,,
majetek,possession,,
přivlastňovací,possessive,,
politika,policy,,
směle,boldly,,
pól,pole,,
mráz,frost,,
zmrazené,frozen,,
možnost,possibility,,
odvážné,bold,,
politik,politician,,
jedovatý,poisonous,,
znečišťující látka,pollutant,,
tvarovar,shape,,
bombardovat,bomb,,
popcorn,popcorn,,
šipka,arrow,,
hanebný,shameful,,
svobodně,freely,,
mrazák,freezer,,
rybník,pond,,
zmrazení,freezing,,
pozitivní,positive,,
