czech,english,block_id,grammar_chunk_id
přídavné jméno,adjective,,
násilný,violent,,
raketa,racket,,
housle,violin,,
houba,mushroom,,
upravit,adjust,,
kamarád,pal,,
bohatství,wealth,,
tramvaj,tram,,
výcvik,training,,
proto,therefore,,
směs,mix,,
na rozdíl od,unlike,,
cibule,onion,,
množný,plural,,
plus,plus,,
balón,balloon,,
pošta,post office,,
online,online,,
umělý,artificial,,
patro,upstairs,,
meloun,melon,,
Pozor,attention,,
mrkev,carrot,,

Zítra budu pozván na oslavu.,I'll be invited to the party tomorrow.,91,81
Ty budeš vybrán do týmu po zkoušce.,You'll be chosen for the team after the test.,91,81
On bude příští měsíc povýšen.,He'll be promoted next month.,91,81
Ona bude zítra informována o změně.,She'll be informed about the change tomorrow.,91,81
To bude opraveno do pátku.,It'll be repaired by Friday.,91,81
My budeme požádáni o pomoc během schůzky.,We'll be asked for help during the meeting.,91,81
Vy budete placeni každý pátek.,You'll be paid every Friday.,91,81
Oni budou zítra kontrolováni u vchodu.,They'll be checked at the entrance tomorrow.,91,81
