czech,english,block_id,grammar_chunk_id
hlavně,mainly,,
kalendář,calendar,,
hlavní,major,,
grilování,barbecue,,
výrobce,maker,,
make-up,make-up,,
výběr,choice,,
cvrlikání,chirp,,
brada,chin,,
šimpanz,chimpanzee,,
lyrika,lyric,,
stát (peníze),cost,,
budík,alarm clock,,
odpověď,reply,,
zákon,law,,
advokát,lawyer,,
kontrast,contrast,,
lenost,laziness,,
záliv,bay,,
kontinent,continent,,
kontext,context,,
keř,bush,,
řízení,control,,
kontejner,container,,

já nezavolám,I won't call,61,51
ty nepřijdeš,you won't come,61,51
on nepomůže,he won't help,61,51
ona nezačne,she won't start,61,51
ono nespadne,it won't fall,61,51
my nepočkáme,we won't wait,61,51
vy neprohrajete,you won't lose,61,51
oni nedorazí,they won't arrive,61,51

"Dobře, nezavolám mu.","All right, I won't call him.",,51
"Ne, zítra nepřijdu.","No, I won't come tomorrow.",,51
"On nám nepomůže."","He won't help us.",,51
"Ona bez nás nezačne.","She won't start without us.",,51
"To nespadne.","It won't fall.",,51
"Nebudeme čekat celou noc.","We won't wait all night.",,51
"Neprohrajete.","You won't lose.",,51
"Asi dnes nedorazí.","They probably won't arrive today.",,51
