czech,english,block_id,grammar_chunk_id
klon,clone,,
volný,loose,,
přežít,survive,,
spáchat,commit,,
závazek,commitment,,
litr,litre,,
surfovat,surf,,
surfování,surfing,,
propuštění,release,,
relaxovat,relax,,
uvolněný,relaxed,,
vtipný,comic,,
komik,comic,,
příjmení,surname,,
pohodlí,comfort,,
komfortní,comfortable,,
živý,lively,,
podnikatelka,businesswoman,,
zatížení,load,,
hřeben,comb,,
místní,local,,
sloupec,column,,
barvitý,colourful,,
překvapení,surprise,,
Pracoval jsem?,Did I work?,53,50
Díval ses?,Did you watch?,53,50
Uklízel?,Did he clean?,53,50
Otevřela?,Did she open?,53,50
Začalo?,Did it start?,53,50
Hráli jsme?,Did we play?,53,50
Pomohli jste?,Did you help?,53,50
Navštívili?,Did they visit?,53,50
Pracoval jsem včera z domova?,Did I work from home yesterday?,,50
Díval ses na zprávy?,Did you watch the news?,,50
Uklízel on celý byt?,Did he clean the whole flat?,,50
Otevřela ona ten dopis?,Did she open the letter?,,50
Začalo to v osm hodin?,Did it start at eight?,,50
Hráli jsme minulý týden spolu?,Did we play together last week?,,50
Pomohli jste svému sousedovi?,Did you help your neighbour?,,50
Navštívili oni muzeum?,Did they visit the museum?,,50
