czech,english,grammar_id
vystrašený,frightened,
zakázat,forbid,
lednička,fridge,
držadlo,handle,
šortky,shorts,
galerie,gallery,
vážně,seriously,
bojovník,fighter,
dát si námahu,bother,
beletrie,fiction,
prohlídka památek,sightseeing,
pár,few,
plot,fence,
žena,female,
daný,given,
samostatný,separate,
poplatek,fee,
postava,figure,
umlčet,silence,
peří,feather,
tichý,silent,
tiše,silently,
hloupý,silly,
strach,fear,
zeměkoule,globe,
chyba,fault,
stříbrný,silver,
senior,senior,
funkce,feature,
opravit,fix,
kotník,ankle,
rybář,fisherman,
shot,shot,
desková hra,board game,
otravovat,annoy,
křestní jméno,first name,
výkřik,shout,
česnek,garlic,
pohlaví,gender,
znuděný,bored,
"Kde jsi byl?","Where have you been?",49
"Co jsi udělal?","What have you done?",49
"Kdy jsi přijel?","When have you arrived?",49
"Proč jsi odešel?","Why have you left?",49
"Kdo ti pomohl?","Who has helped you?",49
"Jak dlouho tu žiješ?","How long have you lived here?",49
"Kolik knih jsi přečetl?","How many books have you read?",49
"S kým jsi mluvil?","Who have you talked to?",49
