czech,english,block_id,grammar_chunk_id
plachý,shy,,
sprcha,shower,,
šou,show,,
by měl,should,,
krátit,short,,
nakupování,shopping,,
bota,shoe,,
třepat,shake,,
sestavit,set,,
věta,sentence,,
já,self,,
pohled,sight,,
fotbal,soccer,,
zasněžený,snowy,,
had,snake,,
kouř,smoke,,
kouření,smoking,,
kovář,smith,,
vůně,smell,,
dovednost,skill,,
místo,site,,
Pane,sir,,
zpěvák,singer,,
sekce,section,,

"moci, umět",can,42,34
"nemoci, neumět",can't,42,34
"mohl, uměl by",could,42,34
"nemohl, neuměl by",couldn't,42,34
smět,may,42,34
nesmět,may not,42,34

mohl by,might,43,34
nemohl by,might not,43,34
muset,must,43,34
nesmět,mustn't,43,34
bude,will,43,34
nebude,won't,43,34

bude (návrh),shall,44,34
nebude (návrh),shall not,44,34
měl by,should,44,34
neměl by,shouldn't,44,34
chtěl by,would,44,34
nechtěl by,wouldn't,44,34

Já mohu pomoci.,I can help.,,34
Ty umíš plavat.,You can swim.,,34
Můžeš jít domů?,Can you go home?,,34
Umíš vařit?,Can you cook?,,34

