czech,english,grammar_id
nejnovější,latest,
zastupovat,represent,
poslední,latter,
autobusová zastávka,bus stop,
pohodlné,convenient,
levice,left,
licence,licence,
lež,lie,
podnikatel,businessman,
superlativ,superlative,
životní styl,lifestyle,
superstar,superstar,
komponovat,compose,
skladatel,composer,
večeře,supper,
v podstatě,basically,
soustředit se,concentrate,
kompletní,complete,
stěžovat si,complain,
stížnost,complaint,
soutěžit,compete,
soutěž,competition,
ret,lip,
porovnat,compare,
srovnávací,comparative,
komunikovat,communicate,
sdělení,communication,
základní,basic,
svoboda,liberty,
znepokojení,concern,
sluneční světlo,sunlight,
pronajmout,rent,
následek,consequence,
vyhovovat,suit,
vhodný,suitable,
vzdálený,remote,
připomenout,remind,
volný čas,leisure,
citrón,lemon,
zmást,confuse,
"Když zahřeješ led, roztaje.","If you heat ice, it melts.",43
"Když prší, je mokro.","If it rains, it is wet.",43
"Když svítí slunce, je teplo.","If the sun shines, it is warm.",43
"Když máš hlad, jíš.","If you are hungry, you eat.",43
"Když voda dosáhne 100°C, vaří se.","If water reaches 100°C, it boils.",43
"Když stiskneš tento knoflík, rozsvítí se světlo.","If you press this button, the light turns on.",43
"Když je zima, nosím kabát.","If it is cold, I wear a coat.",43
"Když mám čas, čtu knihy.","If I have time, I read books.",43
"Když zahřeješ led, roztaje.","When you heat ice, it melts.",43
"Když prší, je mokro.","When it rains, it is wet.",43
"Když svítí slunce, je teplo.","When the sun shines, it is warm.",43
"Když máš hlad, jíš.","When you are hungry, you eat.",43
"Když voda dosáhne 100°C, vaří se.","When water reaches 100°C, it boils.",43
"Když stiskneš tento knoflík, rozsvítí se světlo.","When you press this button, the light turns on.",43
"Když je zima, nosím kabát.","When it is cold, I wear a coat.",43
"Když mám čas, čtu knihy.","When I have time, I read books.",43
