czech,english,
měkký,soft,
různý,various,
dobrodružství,adventure,
ačkoli,although,
spodní,bottom,
mince,coin,
komfort,comfort,
pád,drop,
rovný,equal,
zbraň,gun,
inteligentní,intelligent,
připojit,join,
smát se,laugh,
střed,middle,
provést,perform,
jednoduchý,plain,
řada,row,
voják,soldier,
povrch,surface,
tlustý,thick,
dokud,until,
divoký,wild,
pokus,attempt,
účet,bill,
dýchat,breathe,
tlustý,fat,
šedý,grey,
charakter,character,
importovat,import,
ztratit,lose,
hora,mountain,
operace,operation,
cena,prize,
riziko,risk,
bezpečný,safe,
náhle,suddenly,
oblek,suit,
typ,type,
dřevo,wood,
oblast,area,
Co děláš?,What are you doing?,26
Kde bydlíš?,Where are you living?,26
Proč pláčeš?,Why are you crying?,26
Kdo zpívá?,Who is singing?,26
Kdy odcházíme?,When are we leaving?,26
Jak se cítíš?,How are you feeling?,26
Co čteš?,What are you reading?,26
S kým mluvíš?,Who are you talking to?,26
