czech,english,grammar_id
text,text,
bohužel,unfortunately,
textovat,text,
pilot,pilot,
progresivní,progressive,
sami,themselves,
olympijský,Olympic,
terorista,terrorist,
silný,powerful,
vojenský,military,
plast,plastic,
publikovat,publish,
oficiální,official,
moudrost,wisdom,
moudrý,wise,
postroj,harness,
nadávat,scold,
ráj,paradise,
výrobní,productive,
rozsah,scope,
beznadějný,hopeless,
astronomie,astronomy,
astronom,astronomer,
vězeň,prisoner,
biskup,bishop,
převážit,outweigh,
zbrklý,hasty,
váhat,hesitate,
roh,horn,
horizont,horizon,
soukromí,privacy,
navrhnout,propose,
papoušek,parrot,
přemoci,overwhelm,
návrh,proposal,
padák,parachute,
zakázat,prohibit,
zákaz,prohibition,
sázka,bet,
hrozný,horrible
"Je hezký den, že?","It's a nice day, isn't it?",69
"Ona neumí plavat, že?","She can't swim, can she?",69
"Přijdeš zítra, že?","You'll come tomorrow, won't you?",69
"On tu nebyl, že?","He wasn't here, was he?",69
"Máme dost času, že?","We have enough time, don't we?",69
"Nesnědl jsi to, že?","You didn't eat it, did you?",69
"Děti si hrají venku, že?","The children are playing outside, aren't they?",69
"Pojďme, ano?","Let's go, shall we?",69
