czech,english,
pochyba,doubt,
dvojnásobek,double,
od sebe,apart,
reproduktor,speaker,
hotovo,done,
lov,hunt,
lovit,hunt,
lovec,hunter,
byt,apartment,
konkrétní,specific,
saké,sake,
plachtění,sailing,
závratě,dizzy,
zabezpečit,safe,
průkaz totožnosti,ID card,
bohužel,sadly,
omlouvám se,apologise,
rušit,disturb,
ohnout,bend,
kouzlit,spell,
spěch,rush,
plocha,space,
kosmická loď,spaceship,
řidičský průkaz,driving licence,
brilantní,brilliant,
hostitel,host,
oblečený,dressed,
písčitý,sandy,
výkres,drawing,
výstavce,drawer,
stejně,anyway,
zdroj,source,
ochutnat,sample,
kromě,besides,
však,however,
kdekoli,anywhere,
v centru města,downtown,
dole,downstairs,
obejmout,hug,
stáhnout,download,
"Nečekám tu dlouho.","I haven't been waiting here for long.",51
"Nestuduje celý den. (ona)","She hasn't been studying all day.",51
"Neprší od rána.","It hasn't been raining since morning.",51
"Nepracujeme na tom projektu celý týden.","We haven't been working on that project all week.",51
"Neučiš se anglicky dlouho.","You haven't been learning English for long.",51
"Nehrál fotbal od dětství. (on)","He hasn't been playing football since childhood.",51
"Nečtou tu knihu už dvě hodiny.","They haven't been reading that book for two hours.",51
"Nevařím večeři od pěti hodin.","I haven't been cooking dinner since five o'clock.",51
