id,name,note,grammar_chunk_id,lesson_id
42,let's,,36,25
43,tvorba a použití,,39,26
44,tvorba záporu,,40,27
45,tvorba zjišťovacích otázek,,41,28
46,tvorba tázacích otázek,,42,29
47,základní tvary,,43,30
48,tvorba záporu,,44,31
49,tvorba zjišťovacích otázek,,45,32
50,tvorba tázacích otázek,,46,33
51,pravidelná slovesa,,47,34
52,tvorba záporu,,49,35
53,tvorba zjišťovacích otázek,,50,36
54,tvorba tázacích otázek,,51,37
55,tvorba a použití,,52,38
56,tvorba záporu,,53,39
57,tvorba zjišťovacích otázek,,54,40
58,tvorba tázacích otázek,,55,41
59,tvorba a použití,,56,42
60,tvorba záporu,,57,43
61,tvorba zjišťovacích otázek,,58,44
62,tvorba tázacích otázek,,59,45
63,tvorba a použití,,60,46
64,tvorba a použití,,61,47
65,tvorba a použití,,62,48
66,tvorba a použití,,63,49
67,tvorba záporu,,64,50
68,tvorba zjišťovacích otázek,,65,51
69,tvorba tázacích otázek,,66,52
70,tvorba a použití,,67,53
71,tvorba záporu,,68,54
72,tvorba zjišťovacích otázek,,69,55
73,tvorba tázacích otázek,,70,56
74,tvorba a použití,,71,57
75,tvorba záporu,,72,58
76,tvorba zjišťovacích otázek,,73,59
77,tvorba tázacích otázek,,74,60
78,tvorba a použití,,75,61
79,tvorba záporu,,76,62
80,tvorba zjišťovacích otázek,,77,63
81,tvorba tázacích otázek,,78,64
82,tvorba a použití,,79,65
83,trpný rod v přítomném čase,,80,66
84,trpný rod v minulém čase,,81,67
85,trpný rod v předpřítomném čase,,82,68
86,trpný rod v budoucím čase,,83,69
87,trpný rod v přítomném průběhovém čase,,84,70
88,určující vztažné věty,,85,71
89,tvorba tázacích dovětků,,87,72
90,oznamovací věty,,88,73
91,used to,,91,74
