czech,english,block_id,grammar_chunk_id,
udělat,make,,,
mír,peace,,,
důležitý,important,,,
populární,popular,,,
správně,right,,,
tak,so,,,
ale,but,,,
sen,dream,,,
pro,for,,,
uvnitř,inside,,,
nyní,now,,,
nebo,or,,,
obrázek,picture,,,
před,before,,,
řeka,river,,,
loď,ship,,,
země,land,,,
velmi,very,,,
kino,cinema,,,
odkud,from where,,,
učit,teach,,,
fotbal,football,,,
čekat,wait,,,
znovu,again,,,
kočky,cats,14,8,
psy,dogs,14,8
domy,houses,14,8,
stoly,tables,14,8,
děti,children,14,8,
myši,mice,14,8,
muži,men,14,8,
ženy,women,14,8,
mnoho (nepočítatelných),much,15,8,
mnoho (počítatelných),many,15,8,
málo (nepočítatelných),little,15,8,
málo (počítatelných),few,15,8,
trochu (nepočítatelných),a little,15,8,
několik (počítatelných),a few,15,8,
mnoho vody,much water,16,8,
mnoho aut,many cars,16,8,
málo cukru,little sugar,16,8,
málo knih,few books,16,8,
trochu mléka,a little milk,16,8,
několik studentů,a few students,16,8,
