czech,english,block_id,grammar_chunk_id
mokré,wet,,
provést,perform,,
výkon,performance,,
román,novel,,
parfém,perfume,,
pronásledovat,pursue,,
produkovat,produce,,
punčocháče,tights,,
další,additional,,
fyzicky,physically,,
výroba,production,,
upéct,bake,,
pod vodou,underwater,,
myšlení,thought,,
ačkoli,though,,
hodnotit,rate,,
hodnocení,rating,,
profesionální,professional,,
zámoří,overseas,,
syrový,raw,,
ozbrojit,arm,,
ozbrojený,armed,,
povolání,occupation,,
nadváha,overweight,,

Zítra v osm nebudu pracovat.,I won't be working at eight tomorrow.,84,74
Ty zítra v šest nebudeš řídit.,You won't be driving at six tomorrow.,84,74
"On nebude spát, až dorazíme.",He won't be sleeping when we arrive.,84,74
Ona zítra večer nebude studovat.,She won't be studying tomorrow evening.,84,74
Zítra touto dobou nebude pršet.,It won't be raining at this time tomorrow.,84,74
My v sobotu touto dobou nebudeme cestovat.,We won't be travelling at this time on Saturday.,84,74
Vy v osm nebudete čekat před hotelem.,You won't be waiting outside the hotel at eight.,84,74
"Oni nebudou hrát, až přijdeme.",They won't be playing when we arrive.,84,74
