czech,english,block_id,grammar_chunk_id
slunečnice,sunflower,,
sluneční brýle,sunglasses,,
levá ruka,left-hand,,
opravdu,indeed,,
obtížnost,difficulty,,
gram,gramme,,
blondýnka,blonde,,
rozzlobeně,angrily,,
vnouče,grandchild,,
dědeček,granddad,,
velmi,extremely,,
obývací pokoj,sitting room,,
navíc,extra,,
zdát,seem,,
anděl,angel,,
babička,granny,,
starověké,ancient,,
brusle,skate,,
výraz,expression,,
hledat,seek,,
rychlík,express,,
semínko,seed,,
skateboarding,skateboarding,,
prozkoumat,explore,,
