czech,english,grammar_id
architektura,architecture,
badminton,badminton,
mešita,mosque,
rap,rap,
dub,oak,
inzerce,advertising,
rada,advice,
celý,whole,
uvázat,tie,
uklizeno,tidy,
uklidit,tidy,
přesný,precise,
koho,whom,
radit,advise,
interpunkce,punctuation,
přijatelný,acceptable,
přidání,addition,
široký,wide,
fyzikální,physical,
fotografování,photography,
fotograf,photographer,
špatně,badly,
záležitost,affair,
hmotnost,weight,
pochopit,understand,
fotografie,photograph,
sloveso,verb,
nálada,mood,
hrom,thunder,
bouřka,thunderstorm,
široce,widely,
zvuk,audio,
oznámení,notice,
vytisknout,print,
tiskárna,printer,
těstoviny,pasta,
kvalita,quality,
pračka,washing machine,
slovník,vocabulary,
mytí nádobí,washing-up,
"Kde jsi byl?","Where had you been?",57
"Co jsi udělal?","What had you done?",57
"Kdy jsi přijel?","When had you arrived?",57
"Proč jsi odešel?","Why had you left?",57
"Kdo ti pomohl?","Who had helped you?",57
"Jak dlouho tu žiješ?","How long had you lived here?",57
"Kolik knih jsi přečetl?","How many books had you read?",57
"S kým jsi mluvil?","Who had you talked to?",57
