czech,english,block_id,grammar_chunk_id
vděčný,grateful,,
bruslení,skating,,
dřez,sink,,
jednotného čísla,singular,,
absolvovat,graduate,,
móda,fashion,,
fascinovat,fascinate,,
fascinující,fascinating,,
semestr,semester,,
zlatý,golden,,
golf,golf,,
květ,bloom,,
jízdné,fare,,
dobře vypadající,good-looking,,
fantastický,fantastic,,
módní,fancy,,
vysvětlení,explanation,,
jednoduše,simply,,
pád,fall,,
spravedlivě,fairly,,
podprsenka,bra,,
milost,grace,,
selhat,fail,,
krev,blood,,

Budu volat?,Am I going to call?,66,56
Budeš vařit?,Are you going to cook?,66,56
On začne?,Is he going to start?,66,56
Ona odjede?,Is she going to leave?,66,56
Spadne to?,Is it going to fall?,66,56
My zůstaneme?,Are we going to stay?,66,56
Vy vyhrajete?,Are you going to win?,66,56
Oni přijedou?,Are they going to arrive?,66,56

