czech,english,block_id,grammar_chunk_id
eskalátor,escalator,,
bavit,amuse,,
pobavení,amusement,,
chyba,error,,
výkřik,scream,,
pobavený,amused,,
hladce,smoothly,,
epizoda,episode,,
snack,snack,,
závist,envy,,
šťastně,happily,,
sněžení,snow,,
štěstí,happiness,,
kousat,bite,,
bit,bit,,
vjezd,entrance,,
sotva,hardly,,
újma,harm,,
škodlivý,harmful,,
bavit,entertain,,
zábava,entertainment,,
harmonie,harmony,,
sklidit,harvest,,
obálka,envelope,,
já už odešel,I'd already left,74,71
ty jsi skončil,you'd finished,74,71
on jedl,he'd eaten,74,71
ona přijela,she'd arrived,74,71
ono se rozbilo,it had broken,74,71
my jsme zapomněli,we'd forgotten,74,71
vy jste viděli,you'd seen,74,71
oni odešli,they'd gone,74,71
"Už jsem odešel, když jsi zavolal.",I'd already left when you called.,,71
Dokončil jsi práci před obědem.,You'd finished the work before lunch.,,71
"On už jedl, takže neměl hlad.","He'd already eaten, so he wasn't hungry.",,71
Ona přijela před začátkem schůzky.,She'd arrived before the meeting started.,,71
Rozbilo se to před koncem záruky.,It had broken before the warranty ended.,,71
Zapomněli jsme adresu hotelu.,We'd forgotten the hotel address.,,71
Viděli jste ten film předtím.,You'd seen the film before.,,71
"Odešli, než začalo pršet.",They'd gone before it started raining.,,71
