czech,english,block_id,grammar_chunk_id
klam,trick,,
skutečně,truly,,
vyhnout se,avoid,,
zprůměrovat,average,,
hlavní,principal,,
akt,act,,
napříč,across,,
problémy,trouble,,
pravda,truth,,
síť,net,,
zaparkovat,park,,
částečně,partly,,
královna,queen,,
cena,award,,
peněženka,wallet,,
bloudit,wander,,
přihrávka,pass,,
přejít,pass,,
průchod,passage,,
hrdost,pride,,
chůze,walking,,
návštěvník,visitor,,
naladit,tune,,
klidný,peaceful,,
já jsem zván,I'm invited,83,80
ty jsi vybrán,you're chosen,83,80
on je respektován,he's respected,83,80
ona je informována,she's informed,83,80
ono je čištěno,it's cleaned,83,80
my jsme očekáváni,we're expected,83,80
vy jste placeni,you're paid,83,80
oni jsou kontrolováni,they're checked,83,80
Jsem pozván na dnešní schůzku.,I'm invited to today's meeting.,,80
Jsi vybrán do školního týmu.,You're chosen for the school team.,,80
On je v této práci respektován.,He's respected in this job.,,80
Ona je o změně informována.,She's informed about the change.,,80
Po každém použití se to čistí.,It's cleaned after every use.,,80
"Očekává se, že přijdeme včas.",We're expected to arrive on time.,,80
Jste placeni každý měsíc.,You're paid every month.,,80
Jsou kontrolováni před vstupem.,They're checked before entry.,,80
