czech,english,grammar_id
růže,rose,
pomerančový,orange,
opera,opera,
otevřeno,open,
olympiády,Olympics,
okej,okay,
program,programme,
dát,put,
plachý,shy,
sprcha,shower,
šou,show,
by měl,should,
krátit,short,
nakupování,shopping,
bota,shoe,
třepat,shake,
sestavit,set,
věta,sentence,
pohled,sight,
fotbal,soccer,
zasněžený,snowy,
had,snake,
kouř,smoke,
kouření,smoking,
kovář,smith,
vůně,smell,
dovednost,skill,
místo,site,
Pane,sir,
zpěvák,singer,
sekce,section,
stuha,ribbon,
recenze,review,
zpravodaj,reporter,
nemovitý,real,
připraveno,ready,
čtenář,reader,
krysa,rat,
deštivý,rainy,
králík,rabbit,
"Šel jsi do školy? Ano, šel.","Did you go to school?,Yes, I did.",33
"Jedl snídani? Ne, nejedl.","Did he eat breakfast?,No, he didn't.",33
"Volala ti? Ano, volala.","Did she call you?,Yes, she did.",33
"Hráli fotbal? Ne, nehráli.","Did they play football?,No, they didn't.",33
"Sledovali jsme ten film? Ano, sledovali jsme.","Did we watch the movie?,Yes, we did.",33
"Pršelo včera? Ne, nepršelo.","Did it rain yesterday?,No, it didn't.",33
"Viděl jsi Toma? Ano, viděl jsem.","Did you see Tom?,Yes, I did.",33
"Pomohli ti rodiče? Ne, nepomohli.","Did your parents help you?,No, they didn't.",33


