czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
odpočívat,rest,ɹˈɛst,rest.opus,14000,,,,,True,14
nastavit,set,sˈɛt,set.opus,14001,,,,,True,14
měl by,should,ʃˈʊd,should.opus,14002,,,,,True,14
nahoru,up,ˈʌp,up.opus,14003,,,,,True,14
věk,age,ˈeɪdʒ,age.opus,14004,,,,,True,14
protože,because,bɪkˈʌz,because.opus,14005,,,,,True,14
kamera,camera,kˈæmɹə,camera.opus,14006,,,,,True,14
šaty,dress,dɹˈɛs,dress.opus,14007,,,,,True,14
zdarma,free,fɹˈiː,free.opus,14008,,,,,True,14
nemocný,ill,ˈɪl,ill.opus,14009,,,,,True,14
jako,like,lˈaɪk,like.opus,14010,,,,,True,14
pamatovat,remember,ɹᵻmˈɛmbɚ,remember.opus,14011,,,,,True,14
studium,study,stˈʌdi,study.opus,14012,,,,,True,14
také,also,ˈɔːlsoʊ,also.opus,14013,,,,,True,14
třída,class,klˈæs,class.opus,14014,,,,,True,14
řídit,drive,dɹˈaɪv,drive.opus,14015,,,,,True,14
velký,great,ɡɹˈeɪt,great.opus,14016,,,,,True,14
změna,change,tʃˈeɪndʒ,change.opus,14017,,,,,True,14
setkat se,meet,mˈiːt,meet.opus,14018,,,,,True,14
potřebovat,need,nˈiːd,need.opus,14019,,,,,True,14
hezký,pretty,pɹˈɪɾi,pretty.opus,14020,,,,,True,14
docela,quite,kwˈaɪt,quite.opus,14021,,,,,True,14
skutečný,real,ɹˈiːəl,real.opus,14022,,,,,True,14
vzít,take,tˈeɪk,take.opus,14023,,,,,True,14
můj,my,mˈaɪ,my.opus,14024,17,,,9,False,14
tvůj,your,jˈʊɹ,your.opus,14025,17,,,9,False,14
jeho (on),his,hˈɪz,his.opus,14026,17,,,9,False,14
její,her,hˈɜː,her.opus,14027,17,,,9,False,14
jeho (ono),its,ˈɪts,its.opus,14028,17,,,9,False,14
náš,our,ˈaʊɚ,our.opus,14029,17,,,9,False,14
váš,your,jˈʊɹ,your.opus,14030,17,,,9,False,14
jejich,their,ðˈɛɹ,their.opus,14031,17,,,9,False,14
Tomovo,Tom's,tˈɑːmz,toms.opus,14032,18,,,10,False,14
Annina,Anna's,ˈænəz,annas.opus,14033,18,,,10,False,14
lidí,people's,pˈiːpəlz,peoples.opus,14034,18,,,10,False,14
studentů,students',stˈuːdənts,students.opus,14035,18,,,10,False,14
Tomův pes,Tom's dog,tˈɑːmz dˈɑːɡ,toms_dog.opus,14036,18,,,10,False,14
Annina kočka,Anna's cat,ˈænəz kˈæt,annas_cat.opus,14037,18,,,10,False,14
domy lidí,people's houses,pˈiːpəlz hˈaʊzᵻz,peoples_houses.opus,14038,18,,,10,False,14
mužovo auto,man's car,mˈænz kˈɑːɹ,mans_car.opus,14039,18,,,10,False,14
můj otec,my father,maɪ fˈɑːðɚ,my_father.opus,14040,,,,9,False,14
tvůj bratr,your brother,jʊɹ bɹˈʌðɚ,your_brother.opus,14041,,,,9,False,14
jeho sestra,his sister,hɪz sˈɪstɚ,his_sister.opus,14042,,,,9,False,14
její auto,her car,hɜː kˈɑːɹ,her_car.opus,14043,,,,9,False,14
jeho (ono) jídlo,its food,ɪts fˈuːd,its_food.opus,14044,,,,9,False,14
naše škola,our school,ˌaʊɚ skˈuːl,our_school.opus,14045,,,,9,False,14
vaše kniha,your book,jʊɹ bˈʊk,your_book.opus,14046,,,,9,False,14
jejich dům,their house,ðɛɹ hˈaʊs,their_house.opus,14047,,,,9,False,14
