czech,english,
přeplněný,crowded,
kilometr,kilometre,
řetězec,string,
pevnost,strength,
znalost,knowledge,
tvůrčí,creative,
nezávislost,independence,
deník,diary,
vytvořit,create,
cizinec,stranger,
laskavě,kindly,
personál,staff,
kilo,kilo,
kilogram,kilogramme,
krém,cream,
silně,strongly,
stávka,strike,
krytý,indoor,
okrást,rob,
rozvíjet,develop,
kriket,cricket,
rozvinutý,developed,
loupež,robbery,
zabiják,killer,
království,kingdom,
červenka,robin,
venkov,countryside,
struktura,structure,
stvoření,creature,
krása,beauty,
tvořivost,creativity,
diamant,diamond,
hlubina,deep,
socha,statue,
rozprava,debate,
brouk,bug,
odejít do důchodu,retire,
v důchodu,retired,
dohoda,deal,
rytmus,rhythm,
"Půjdeš tam? Ano, půjdu.","Will you go? Yes, I will.",37
"Zavolá ti? (ona) Ne, nezavolá.","Will she call you? No, she won't.",37
"Přijde zítra? (on) Ano, přijde.","Will he come tomorrow? Yes, he will.",37
"Budeme mít čas? Ne, nebudeme.","Will we have time? No, we won't.",37
"Bude pršet? Ne, nebude.","Will it rain? No, it won't.",37
"Přijedou včas? Ano, přijedou.","Will they arrive on time? Yes, they will.",37
"Zapomeneš na to? Ne, nezapomenu.","Will you forget it? No, I won't.",37
"Pomůžeš mi? Ano, pomohu.","Will you help me? Yes, I will.",37
