czech,english,grammar_id
šroub,screw,
podat,hand,
kabelka,handbag,
obrazovka,screen,
založit,establish,
handicap,handicap,
handicapované,handicapped,
sudý,even,
udeřit,blow,
plátek,slice,
provádět,guide,
průvodce,guidebook,
lyže,ski,
velmi,greatly,
lyžování,skiing,
chamtivý,greedy,
existovat,exist,
vystavit,exhibit,
výstava,exhibition,
gril,grill,
grilovat,grill,
grilovaný,grilled,
brainstorm,brainstorm,
vyhledávání,search,
brzda,brake,
úzkostné,anxious,
hlídat,guard,
otrok,slave,
pobřeží,seaside,
předek,ancestor,
bezesný,sleepless,
vyjmout,except,
ospalý,sleepy,
obchod s potravinami,grocery store,
rychlé občerstvení,fast food,
rukavice,glove,
knihovna,bookcase,
potěr,fry,
složku,folder,
šok,shock,
"Kdybych byl věděl, přišel bych.","If I had known, I would have come.",62
"Kdybych tě byl viděl, pozdravil bych tě.","If I had seen you, I would have greeted you.",62
"Kdybych byl měl čas, pomohl bych ti.","If I had had time, I would have helped you.",62
"Kdyby nepršelo, šli bychom ven.","If it hadn’t rained, we would have gone out.",62
"Kdybych byl studoval víc, udělal bych zkoušku.","If I had studied more, I would have passed the exam.",62
"Kdybych byl vyhrál v loterii, koupil bych si dům.","If I had won the lottery, I would have bought a house.",62
"Kdybych byl slyšel ten zvuk, zastavil bych se.","If I had heard the sound, I would have stopped.",62
"Kdybych byl jedl snídani, nebyl bych hladový.","If I had eaten breakfast, I wouldn’t have been hungry.",62
