czech,english,block_id,grammar_chunk_id
svoboda,freedom,,
zmrazit,freeze,,
skořápka,shell,,
zděšení,fright,,
děsivý,frightening,,
vidlice,fork,,
navždy,forever,,
smažený,fried,,
les,forest,,
bonus,bonus,,
přátelství,friendship,,
vystrašit,frighten,,
síla,force,,
vystrašený,frightened,,
zakázat,forbid,,
lednička,fridge,,
držadlo,handle,,
šortky,shorts,,
galerie,gallery,,
vážně,seriously,,
bojovník,fighter,,
dát si námahu,bother,,
beletrie,fiction,,
prohlídka památek,sightseeing,,
já jsem skončil,I've finished,66,63
ty jsi viděl,you've seen,66,63
on ztratil,he's lost,66,63
ona se rozhodla,she's decided,66,63
ono se změnilo,it's changed,66,63
my jsme přijeli,we've arrived,66,63
vy jste zapomněli,you've forgotten,66,63
oni už jedli,they've eaten,66,63
Už jsem dokončil svou práci.,I've already finished my work.,,63
Viděl jsi někdy tento film?,"You've seen this film before, haven't you?",,63
On ztratil klíče od auta.,He's lost his car keys.,,63
Ona se rozhodla změnit práci.,She's decided to change jobs.,,63
Od stěhování se to změnilo.,It's changed since the move.,,63
Přijeli jsme právě včas.,We've arrived just in time.,,63
Zapomněli jste heslo k účtu.,You've forgotten the password to the account.,,63
"Už jedli, takže nemají hlad.","They've already eaten, so they aren't hungry.",,63
