czech,english,grammar_id
naladit,tune,
klidný,peaceful,
web,web,
webová stránka,web page,
provoz,traffic,
semafor,traffic light,
webové stránky,website,
tradice,tradition,
tradiční,traditional,
svatba,wedding,
tajemství,mystery,
tajemný,mysterious,
automaticky,automatically,
já sám,myself,
obec,village,
dráha,track,
neobvyklý,unusual,
automatizovat,automate,
automatický,automatic,
všední den,weekday,
dospělý,adult,
týdně,weekly,
plakat,weep,
k,towards,
turista,tourist,
vážit,weigh,
turné,tour,
průvodce,tour guide,
hudební,musical,
pomáhat,assist,
asistent,assistant,
ubrousek,napkin,
malíř,painter,
dvakrát,twice,
tlak,pressure,
kvíz,quiz,
nutné,necessary,
téměř,nearly,
panika,panic,
slabý,weak
"Nebudu zítra v 8 pracovat.","I won't be working at 8 tomorrow.",59
"Nebudeš čekat na autobus.","You won't be waiting for the bus.",59
"On nebude spát v té době.","He won't be sleeping at that time.",59
"Nebudeme se učit anglicky.","We won't be studying English.",59
"Oni nebudou hrát fotbal odpoledne.","They won't be playing football in the afternoon.",59
"Nebudeš používat počítač.","You won't be using the computer.",59
"Ona nebude vařit večeři.","She won't be cooking dinner.",59
"Nikdo nebude sedět na této židli.","No one will be sitting on this chair.",59
