czech,english,block_id,grammar_chunk_id
cizinec,stranger,,
laskavě,kindly,,
personál,staff,,
kilo,kilo,,
kilogram,kilogramme,,
krém,cream,,
šílený,crazy,,
silně,strongly,,
stávka,strike,,
krytý,indoor,,
zločin,crime,,
okrást,rob,,
rozvíjet,develop,,
kriket,cricket,,
rozvinutý,developed,,
loupež,robbery,,
zabiják,killer,,
království,kingdom,,
červenka,robin,,
venkov,countryside,,
struktura,structure,,
stvoření,creature,,
krása,beauty,,
tvořivost,creativity,,
já nebyl,I wasn't,48,44
ty jsi nebyl,you weren't,48,44
on nebyl,he wasn't,48,44
ona nebyla,she wasn't,48,44
ono nebylo,it wasn't,48,44
my jsme nebyli,we weren't,48,44
vy jste nebyli,you weren't,48,44
oni nebyli,they weren't,48,44
Včera jsem nebyl připravený na test.,I wasn't ready for the test yesterday.,,44
Po cestě jsi nebyl unavený.,You weren't tired after the journey.,,44
"On nebyl doma, byl v práci.",He wasn't at home; he was at work.,,44
Ona nebyla šťastná z té zprávy.,She wasn't happy about the news.,,44
Včera venku nebyla taková zima.,It wasn't that cold outside yesterday.,,44
Na schůzku jsme nepřišli pozdě.,We weren't late for the meeting.,,44
Minulý týden jste nebyli zaneprázdnění.,You weren't busy last week.,,44
"Nebyli venku, byli uvnitř.",They weren't outside; they were inside.,,44
