czech,english,block_id,grammar_chunk_id
představit,introduce,,
méně,less,,
značka,mark,,
trpělivý,patient,,
možná,perhaps,,
vzrůst,rise,,
smysl,sense,,
stav,state,,
otočit,turn,,
bude,will,,
jednat,act,,
objevit,appear,,
zlomit,break,,
kurz,course,,
soud,court,,
diskutovat,discuss,,
efekt,effect,,
forma,form,,
zákazník,customer,,
hmyz,insect,,
znamenat,mean,,
jednou,once,,
účel,purpose,,
opravdu,really,,
jezdit,ride,,
situace,situation,,
úspěch,success,,
ačkoliv,though,,
na,upon,,
válka,war,,
zaneprázdněný,busy,,
detail,detail,,
zvláště,especially,,
dokončit,finish,,
země,ground,,
prázdniny,holiday,,
volba,choice,,
lekce,lesson,,
hudba,music,,
dokonalý,perfect,,

