czech,english,block_id,grammar_chunk_id
napřed,ahead,,
metoda,method,,
klepnout,tap,,
metr,metre,,
strachovat se,worry,,
ustaraný,worried,,
příjemný,pleasing,,
správné,proper,,
roztrhnout,tear,,
horší,worse,,
nejhorší,worst,,
neznámý,unknown,,
publikum,audience,,
potěšen,pleased,,
lékařský,medical,,
medaile,medal,,
organizovat,organise,,
organizovaný,organised,,
cereálie,cereal,,
mládí,youth,,
pokus,attempt,,
parkoviště,car park,,
tábořit,camp,,
předseda,chairman,,

"Znám muže, který zpívá v kapele.","I know a man who sings in a band.",93,83
"Máš knihu, která mi pomáhá učit se anglicky.","You have a book that helps me learn English.",93,83
"On hledá práci, která dobře platí.","He's looking for a job that pays well.",93,83
"Ona zná ženu, která peče dorty.","She knows a woman who bakes cakes.",93,83
"To je telefon, který pořád funguje.","It's a phone that still works.",93,83
"Bydlíme v domě, který stojí u řeky.","We live in a house that sits by the river.",93,83
"Znáte restauraci, která vaří dobré jídlo?","Do you know a restaurant that serves good food?",93,83
"Mají psa, který rád běhá.","They have a dog that likes to run.",93,83
