czech,english,
výraz,expression,
farma,farm,
historie,history,
zranit,injure,
mapa,map,
získat,obtain,
pokojný,peaceful,
procvičovat,practise,
nedávno,recently,
tvar,shape,
kouřit,smoke,
dotknout se,touch,
výhoda,advantage,
útok,attack,
máslo,butter,
klub,club,
vysoká škola,college,
stupeň,degree,
uniknout,escape,
brána,gate,
nezávislý,independent,
poslouchat,listen,
vdát se,marry,
předmět,object,
cesta,path,
tichý,quiet,
odmítnout,refuse,
předmět,subject,
dodat,supply,
chuť,taste,
obvykle,usually,
zelenina,vegetable,
uspořádat,arrange,
níže,below,
cigareta,cigarette,
chata,cottage,
oddělení,department,
vydělat,earn,
přední,front,
jemný,gentle,
Pracuji.,I'm working.,23
Čteš knihu.,You're reading a book.,23
Píše dopis. (on),He's writing a letter.,23
Zpívá. (ona),She's singing.,23
Spí. (ono),It's sleeping.,23
Učíme se.,We're studying.,23
Posloucháte hudbu.,You're listening to music.,23
Hrají fotbal.,They're playing football.,23
