czech,english,grammar_id
stavěl,have built
přinesl,have brought
postavil,have built
koupil,have bought
chytil,have caught
vybral,have chosen
přišel,have come
stál (cena),have cost
řezal,have cut
dělal,have done
kreslil,have drawn
snil,have dreamt
padal,have fallen
cítil,have felt
našel,have found
letěl,have flown
zakázal,have forbidden
odpustil,have forgiven
zmrazil,have frozen
dostal,have gotten
dal,have given
rostl,have grown
pověsil,have hung
měl,have had
slyšel,have heard
schoval,have hidden
zasáhl,have hit
držel,have held
ublížil,have hurt
nechal,have let
svítil,have lit
udělal,have made
potkal,have met
zaplatil,have paid
položil,have put
četl,have read
jel (na něčem),have ridden
zazvonil,have rung
povstal,have risen
prodal,have sold
Neudělal jsem domácí úkol.,I haven't done my homework.,47
Neviděl jsi ten film.,You haven't seen the movie.,47
On neztratil klíče.,He hasn't lost his keys.,47
Ona nenavštívila Paříž.,She hasn't visited Paris.,47
Ono ještě nesnědlo večeři.,It hasn't eaten its dinner yet.,47
Ještě jsme nezačali.,We haven't started yet.,47
Ještě jste nebyli v Londýně.,You haven't been to London yet.,47
Oni nekoupili nový dům.,They haven't bought a new house.,47
