czech,english,block_id,grammar_chunk_id
hlavně,mainly,,
kalendář,calendar,,
hlavní,major,,
grilování,barbecue,,
výrobce,maker,,
make-up,make-up,,
výběr,choice,,
cvrlikání,chirp,,
brada,chin,,
šimpanz,chimpanzee,,
lyrika,lyric,,
stát (peníze),cost,,
budík,alarm clock,,
odpověď,reply,,
zákon,law,,
advokát,lawyer,,
kontrast,contrast,,
lenost,laziness,,
záliv,bay,,
kontinent,continent,,
kontext,context,,
keř,bush,,
řízení,control,,
kontejner,container,,
já nezavolám,I won't call,56,53
ty nepřijdeš,you won't come,56,53
on nepomůže,he won't help,56,53
ona nezačne,she won't start,56,53
ono nespadne,it won't fall,56,53
my nepočkáme,we won't wait,56,53
vy neprohrajete,you won't lose,56,53
oni nedorazí,they won't arrive,56,53
Dnes večer ti nezavolám.,I won't call you tonight.,,53
Zítra nepřijdeš do kanceláře.,You won't come to the office tomorrow.,,53
On nám s tím nepomůže.,He won't help us with it.,,53
Ona nezačne bez svého týmu.,She won't start without her team.,,53
Balón nespadne na zem.,It won't fall to the ground.,,53
Nebudeme čekat celou noc.,We won't wait all night.,,53
Ten zápas neprohrajete.,You won't lose the match.,,53
Dnes nedorazí včas.,They won't arrive on time today.,,53
