czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
Já nečtu noviny.,I don't read newspapers.,aɪ dˈoʊnt ɹˈiːd nˈuːzpeɪpɚz,i_dont_read_newspapers.opus,19000,,,,27,False,19
Ty neřídíš do práce.,You don't drive to work.,juː dˈoʊnt dɹˈaɪv tə wˈɜːk,you_dont_drive_to_work.opus,19001,,,,27,False,19
On se neučí francouzsky.,He doesn't study French.,hiː dˈʌzənt stˈʌdi fɹˈɛntʃ,he_doesnt_study_french.opus,19002,,,,27,False,19
Ona často nenavštěvuje své prarodiče.,She doesn't visit often her grandparents.,ʃiː dˈʌzənt vˈɪzɪt ˈɔfən hɜː ɡɹˈændpɛɹənts,she_doesnt_visit_often_her_grandparents.opus,19003,,,,27,False,19
V létě nesněží.,It doesn't snow in summer.,ɪt dˈʌzənt snˈoʊ ɪn sˈʌmɚ,it_doesnt_snow_in_summer.opus,19004,,,,27,False,19
My nepotřebujeme auto.,We don't need a car.,wiː dˈoʊnt nˈiːd ɐ kˈɑːɹ,we_dont_need_a_car.opus,19005,,,,27,False,19
Vy doma nemluvíte španělsky.,You don't speak Spanish at home.,juː dˈoʊnt spˈiːk spˈænɪʃ æt hˈoʊm,you_dont_speak_spanish_at_home.opus,19006,,,,27,False,19
Oni v pátek nechodí do posilovny.,They don't go to the gym on Fridays.,ðeɪ dˈoʊnt ɡˌoʊ tə ðə dʒˈɪm ˌɔn fɹˈaɪdeɪz,they_dont_go_to_the_gym_on_fridays.opus,19007,,,,27,False,19
Co já kupuji?,What do I buy?,wˌʌt dˈuː aɪ bˈaɪ,what_do_i_buy.opus,21000,,,,30,False,21
Kde ty studuješ?,Where do you study?,wˌɛɹ dˈuː juː stˈʌdi,where_do_you_study.opus,21001,,,,30,False,21
Jak často on běhá?,How often does he run?,hˌaʊ ˈɔfən dˈʌz hiː ɹˈʌn,how_often_does_he_run.opus,21002,,,,30,False,21
Kdy ona vstává?,When does she get up?,wˌɛn dˈʌz ʃiː ɡɛt ˈʌp,when_does_she_get_up.opus,21003,,,,30,False,21
Proč to začíná?,Why does it start?,wˌaɪ dˈʌz ɪt stˈɑːɹt,why_does_it_start.opus,21004,,,,30,False,21
