czech,english,block_id,grammar_chunk_id
Středomoří,Mediterranean,,
luxus,luxury,,
recyklovaný,recycled,,
smysluplné,meaningful,,
matematik,mathematician,,
snížit,reduce,,
snížení,reduction,,
osvěžit,refresh,,
osvěžující,refreshing,,
osvěžující,refreshingly,,
občerstvení,refreshments,,
javor,maple,,
mramor,marble,,
pochodovat,march,,
námořní,marine,,
výrazný,marked,,
útes,reef,,
masivní,massive,,
rozhodčí,referee,,
odraz,reflection,,
vrácení peněz,refund,,
zamítnutí,refusal,,
matematika,mathematics,,
udržovat,maintain,,
