czech,english,block_id,grammar_chunk_id
sdělení,communication,,
základní,basic,,
svoboda,liberty,,
znepokojení,concern,,
sluneční světlo,sunlight,,
pronajmout,rent,,
následek,consequence,,
vyhovovat,suit,,
vhodný,suitable,,
vzdálený,remote,,
připomenout,remind,,
volný čas,leisure,,
citrón,lemon,,
zmást,confuse,,
zmatený,confused,,
kufr,suitcase,,
limonáda,lemonade,,
půjčovat,lend,,
sebevědomý,confident,,
shrnutí,summary,,
naživu,alive,,
dávka,batch,,
stav,condition,,
úroveň,level,,
já budu volat,I'm going to call,59,56
ty budeš vařit,you're going to cook,59,56
on začne,he's going to start,59,56
ona odjede,she's going to leave,59,56
ono spadne,it's going to fall,59,56
my zůstaneme,we're going to stay,59,56
vy vyhrajete,you're going to win,59,56
oni přijedou,they're going to arrive,59,56
Zavolám mu po obědě.,I'm going to call him after lunch.,,56
Budeš dnes vařit večeři.,You're going to cook dinner today.,,56
On začne nový projekt.,He's going to start a new project.,,56
Ona odjede příští týden.,She's going to leave next week.,,56
Ten strom brzy spadne.,It's going to fall soon.,,56
Zůstaneme doma kvůli dešti.,We're going to stay home because of the rain.,,56
Vy ten zápas vyhrajete.,You're going to win the match.,,56
Přijedou večer vlakem.,They're going to arrive by train tonight.,,56
