czech,english,block_id,grammar_chunk_id
lovit,hunt,,
lovec,hunter,,
byt,apartment,,
konkrétní,specific,,
saké,sake,,
plachtění,sailing,,
závratě,dizzy,,
zabezpečit,safe,,
ID,ID,,
průkaz totožnosti,ID card,,
bohužel,sadly,,
omlouvám se,apologise,,
rušit,disturb,,
ohnout,bend,,
kouzlit,spell,,
spěch,rush,,
plocha,space,,
kosmická loď,spaceship,,
řidičský průkaz,driving licence,,
brilantní,brilliant,,
hostitel,host,,
oblečený,dressed,,
písčitý,sandy,,
výkres,drawing,,

Co už jsem dokončil?,What have I finished so far?,74,64
Co už jsi viděl?,What have you seen so far?,74,64
Co všechno už ztratil?,What has he lost so far?,74,64
Proč se rozhodla tak rychle?,Why has she decided so quickly?,74,64
Co se od minula změnilo?,What has changed since last time?,74,64
Do kterého města jsme dnes přijeli?,Which city have we arrived in today?,74,64
Co jste dnes zapomněli?,What have you forgotten today?,74,64
Co už jedli?,What have they eaten so far?,74,64
