czech,english,block_id,grammar_chunk_id
kontaktovat,contact,,
kontakt,contact,,
přivlastnit si,appropriate,,
baterie,battery,,
opravit,repair,,
nejméně,least,,
kůže,leather,,
náhlý,sudden,,
uspět,succeed,,
pohodlí,convenience,,
výzkum,research,,
svítilna,lamp,,
studie,study,,
povolit,allow,,
věc,stuff,,
krajina,landscape,,
styl,style,,
pruh,lane,,
hořet,burn,,
pohřbít,bury,,
sporák,cooker,,
autobusové nádraží,bus station,,
nejnovější,latest,,
zastupovat,represent,,
Zavolám?,Will I call?,57,54
Přijdeš?,Will you come?,57,54
Pomůže?,Will he help?,57,54
Začne?,Will she start?,57,54
Spadne?,Will it fall?,57,54
Počkáme?,Will we wait?,57,54
Vyhrajete?,Will you win?,57,54
Dorazí?,Will they arrive?,57,54
Zavolám ti zítra ráno?,Will I call you tomorrow morning?,,54
Přijdeš na večírek?,Will you come to the party?,,54
Pomůže nám on s opravou?,Will he help us with the repair?,,54
Začne ona kurz příští týden?,Will she start the course next week?,,54
"Spadne to, když to pustím?",Will it fall if I let go?,,54
Počkáme na ně před domem?,Will we wait for them outside the house?,,54
Vyhrajete dnes večer?,Will you win tonight?,,54
Dorazí oni před setměním?,Will they arrive before dark?,,54
