czech,english,
cestující,passenger,
tisknout,press,
pravidlo,rule,
znamení,sign,
podpora,support,
úžasný,wonderful,
bát se,afraid,
paluba,board,
kruh,circle,
počítat,count,
smrt,death,
objevit,discover,
legrační,funny,
host,guest,
jezero,lake,
moderní,modern,
nutný,necessary,
dost,plenty,
zisk,profit,
snížit,reduce,
sdílet,share,
ukrást,steal,
důvěřovat,trust,
přát si,wish,
obdivovat,admire,
dovolit,allow,
bitva,battle,
lézt,climb,
dokončit,complete,
rozdělit,divide,
úsilí,effort,
čerstvý,fresh,
díra,hole,
pršet,rain,
opravdu,indeed,
venku,outside,
příjemný,pleasant,
nedávný,recent,
tajemník,secretary,
vztah,relationship,
"Jíš teď? Ano, jím.","Are you eating?,Yes, I am.",25
"Spí? (on) Ne,nespí.","Is he sleeping? No, he isn't.",25
"Přicházejí? Ano, přicházejí.","Are they coming? Yes, they are.",25
"Čte? (ona) Ne,nečte.","Is she reading? No, she isn't.",25
"Čekáme? Ano, čekáme.","Are we waiting? Yes, we are.",25
"Prší? Ne, neprší.","Is it raining? No, it isn't.",25
