czech,english,block_id,grammar_chunk_id,
vzdálenost,distance,,,
vzdělání,education,,,
autobus,bus,,,
společnost,company,,,
poušť,desert,,,
drahý (cenově),expensive,,,
květina,flower,,,
kostel,church,,,
možné,possible,,,
nemožné,impossible,,,
opustit,leave,,,
plán,plan,,,
vrátit se,return,,,
uložit,save,,,
moře,sea,,,
spolu,together,,,
armáda,army,,,
kryt,cover,,,
kultura,culture,,,
rozhodnutí,decision,,,
příklad,example,,,
cítit,feel,,,
ostrov,island,,,
člen,member,,,
deset hodin dopoledne,ten AM,26,18,
pět hodin odpoledne,five PM,26,18,
deset hodin,ten o'clock,26,18,
osm hodin 10 minut,eight ten,26,18,
třetího února,February 3rd,27,19,
dvacátého osmého března,March 28th,27,19,
prvního ledna 2026,January 1st 2026,27,19,
patnáctého března 1975,March 15th 1975,27,19,
