czech,english,block_id,grammar_chunk_id
kvalita,quality,,
pračka,washing machine,,
slovník,vocabulary,,
mytí nádobí,washing-up,,
hlučný,noisy,,
zabránit,prevent,,
dosáhnout,achieve,,
nervový,nervous,,
poklad,treasure,,
negativní,negative,,
tiše,quietly,,
předstírat,pretend,,
cestovatel,traveller,,
soukromé,private,,
cestování,travel,,
astronaut,astronaut,,
přestat,quit,,
sdružení,association,,
PC,PC,,
past,trap,,
vlna,wave,,
argument,argument,,
hrášek,pea,,
nikdo,nobody,,

"Kdybych to věděl, zavolal bych","If I'd known, I'd have called",87,77
"Kdybys přišel, pomohl bys","If you'd come, you'd have helped",87,77
"Kdyby studoval, uspěl by","If he'd studied, he'd have succeeded",87,77
"Kdyby se připravila, vyhrála by","If she'd prepared, she'd have won",87,77
"Kdyby se to rozbilo, opravili bychom to","If it had broken, we'd have fixed it",87,77
"Kdybychom odešli dřív, stihli bychom vlak","If we'd left earlier, we'd have caught the train",87,77
"Kdybyste poslouchali, rozuměli byste","If you'd listened, you'd have understood",87,77
"Kdyby odešli dřív, viděli by začátek","If they'd left earlier, they'd have seen the beginning",87,77

