czech,english,block_id,grammar_chunk_id
psaní,writing,,
zaznamenat,record,,
úkol,task,,
ukázat,point,,
hotovost,cash,,
křivdit,wrong,,
kazeta,cassette,,
útočit,attack,,
cíl,target,,
hrad,castle,,
naštvaný,upset,,
páska,tape,,
možná,possibly,,
zmínka,mention,,
v zahraničí,abroad,,
menu,menu,,
dostávat,receive,,
nedávné,recent,,
jednotka,unit,,
dospívající,teenager,,
omeleta,omelette,,
použitý,used,,
recepce,reception,,
recepční,receptionist,,
já jsem sledován,I'm being watched,87,84
ty jsi testován,you're being tested,87,84
on je fotografován,he's being photographed,87,84
ona je nahrávána,she's being recorded,87,84
ono je opravováno,it's being repaired,87,84
my jsme kontrolováni,we're being checked,87,84
vy jste vyslýcháni,you're being questioned,87,84
oni jsou školeni,they're being trained,87,84
Právě mě sledují na kameře.,I'm being watched on camera right now.,,84
Jsi testován novým systémem.,You're being tested by the new system.,,84
On je fotografován pro časopis.,He's being photographed for a magazine.,,84
Ona je nahrávána během rozhovoru.,She's being recorded during the interview.,,84
Auto se právě opravuje.,It's being repaired right now.,,84
Jsme kontrolováni před odjezdem.,We're being checked before departure.,,84
Jste vyslýcháni policií.,You're being questioned by the police.,,84
Jsou školeni na nový úkol.,They're being trained for a new task.,,84
