czech,english,block_id,grammar_chunk_id,
skupina,group,,
naděje,hope,,
průmysl,industry,,
dívat se,look,,
muset,must,,
vlastní,own,,
osobní,personal,,
důvod,reason,,
představit,imagine,,
srdce,heart,,
pole,field,,
rozhodnout,decide,,
šílený,crazy,,
obvyklý,usual,,
zatímco,while,,
před,ago,,
podél,along,,
medvěd,bear,,
podmínka,condition,,
držet,hold,,
okraj,edge,,
jemný,fine,,
zvýšit,increase,,
časopis,magazine,,
příroda,nature,,
talíř,plate,,
jehož,whose,,
ostrý,sharp,,
někdy,sometimes,,
stále,still,,
by, would,,
přidat,add,,
mezi,among,,
postavený,built,,
běžný,common,,
záviset,depend,,
časný,early,,
letět,fly,,
stát se,happen,,
zkontrolovat,check,,
