czech,english,block_id,grammar_chunk_id
lovit,hunt,,
lovec,hunter,,
byt,apartment,,
konkrétní,specific,,
saké,sake,,
plachtění,sailing,,
závratě,dizzy,,
zabezpečit,safe,,
ID,ID,,
průkaz totožnosti,ID card,,
bohužel,sadly,,
omlouvám se,apologise,,
rušit,disturb,,
ohnout,bend,,
kouzlit,spell,,
spěch,rush,,
plocha,space,,
kosmická loď,spaceship,,
řidičský průkaz,driving licence,,
brilantní,brilliant,,
hostitel,host,,
oblečený,dressed,,
písčitý,sandy,,
výkres,drawing,,
Co jsem dokončil?,What have I finished?,69,66
Co jsi viděl?,What have you seen?,69,66
Co ztratil?,What has he lost?,69,66
Proč se rozhodla?,Why has she decided?,69,66
Co to změnilo?,What has it changed?,69,66
Kam jsme přijeli?,Where have we arrived?,69,66
Co jste zapomněli?,What have you forgotten?,69,66
Co jedli?,What have they eaten?,69,66
Co jsem už dokončil před obědem?,What have I already finished before lunch?,,66
Co jsi viděl během své cesty?,What have you seen during your trip?,,66
Co ztratil cestou do práce?,What has he lost on the way to work?,,66
Proč se rozhodla odejít?,Why has she decided to leave?,,66
Co to změnilo v kuchyni?,What has it changed in the kitchen?,,66
Kam jsme už přijeli?,Where have we arrived already?,,66
Co jste zapomněli vzít s sebou?,What have you forgotten to bring?,,66
Co jedli k obědu?,What have they eaten for lunch?,,66
