czech,english,
vytápět,heat,
teplo,heat,
topení,heating,
vynořit se,emerge,
stav nouze,emergency,
těžce,heavily,
trapný,embarrassing,
rozpis,schedule,
e-mail,email,
jinde,elsewhere,
ponožka,sock,
užitečný,helpful,
eskalátor,escalator,
bavit,amuse,
pobavení,amusement,
chyba,error,
výkřik,scream,
pobavený,amused,
hladce,smoothly,
epizoda,episode,
snack,snack,
závist,envy,
šťastně,happily,
sněžení,snow,
štěstí,happiness,
kousat,bite,
bit,bit,
vjezd,entrance,
sotva,hardly,
újma,harm,
škodlivý,harmful,
bavit,entertain,
zábava,entertainment,
harmonie,harmony,
sklidit,harvest,
obálka,envelope,
zejména,especially,
soda,soda,
udeřit,hit,
hokej,hockey,
"Jak dlouho tu čekáš?","How long have you been waiting here?",53
"Co děláš celý den?","What have you been doing all day?",53 
"Proč prší od rána?","Why has it been raining since morning?",53
"Kdo pracuje na tom projektu celý týden?","Who has been working on that project all week?",53
"Kde se učíš anglicky?","Where have you been learning English?",53
"Jak dlouho hraje fotbal od dětství?","How long has he been playing football since childhood?",53
"Kolik hodin čtou tu knihu?","How many hours have they been reading that book?",53
"Od kdy vaříš večeři?","Since when have you been cooking dinner?",53
