czech,english,block_id,grammar_chunk_id
jednoduchý,simple,,
město,town,,
strom,tree,,
adresa,address,,
budova,building,,
překročit,cross,,
stůl,desk,,
led,ice,,
klíč,key,,
rodič,parent,,
pošta,post,,
kámen,rock,,
hledat,search,,
sport,sport,,
údolí,valley,,
dítě,baby,,
karta,card,,
centrální,central,,
směr,direction,,
dolar,dollar,,
ovoce,fruit,,
dárek,gift,,
vysoký,high,,
nemoc,illness,,
já pracuji,I work,34,26
ty pracuješ,you work,34,26
on pracuje,he works,34,26
ona pracuje,she works,34,26
ono pracuje,it works,34,26
my pracujeme,we work,34,26
vy pracujete,you work,34,26
oni pracují,they work,34,26
Jím chléb.,I eat bread.,,26
Piješ vodu.,You drink water.,,26
On čte knihu.,He reads a book.,,26
Ona píše dopis.,She writes a letter.,,26
Je to malé.,It is small.,,26
Máme auto.,We have a car.,,26
Učíte studenty.,You teach students.,,26
Hrají fotbal.,They play football.,,26
Kočka běhá v parku.,The cat runs in the park.,,26
Pes spí na posteli.,The dog sleeps on a bed.,,26
Anna vaří rýži.,Anna cooks rice.,,26
Můj bratr žije v domě.,My brother lives in a house.,,26
Děti otevírají dveře.,Children open doors.,,26
Pták létá.,A bird flies.,,26
Matka zpívá píseň.,Mother sings a song.,,26
Slunce svítí ráno.,The sun shines in the morning.,,26
