czech,english,block_id,grammar_chunk_id
napřed,ahead,,
metoda,method,,
klepnout,tap,,
metr,metre,,
strachovat se,worry,,
ustaraný,worried,,
příjemný,pleasing,,
správné,proper,,
roztrhnout,tear,,
horší,worse,,
nejhorší,worst,,
neznámý,unknown,,
publikum,audience,,
potěšen,pleased,,
lékařský,medical,,
medaile,medal,,
organizovat,organise,,
organizovaný,organised,,
cereálie,cereal,,
mládí,youth,,
pokus,attempt,,
parkoviště,car park,,
tábořit,camp,,
předseda,chairman,,
"Znám muže, který zpívá",I know a man who sings,88,85
"Máš knihu, která pomáhá",you have a book that helps,88,85
"On hledá práci, která platí dobře",he's looking for a job that pays well,88,85
"Ona zná ženu, která peče",she knows a woman who bakes,88,85
"To je telefon, který funguje",it's a phone that works,88,85
"Bydlíme v domě, který stojí u řeky",we live in a house that stands by the river,88,85
"Znáte restauraci, která vaří dobře",you know a restaurant that cooks well,88,85
"Mají psa, který rád běhá",they have a dog that likes running,88,85
"Znám muže, který zpívá v místním sboru.",I know a man who sings in the local choir.,,86
"Máš knihu, která vysvětluje tento problém.",You have a book that explains this problem.,,86
"On hledá práci, která nabízí pružnou dobu.",He's looking for a job that offers flexible hours.,,86
"Ona zná ženu, která peče skvělé dorty.",She knows a woman who bakes wonderful cakes.,,86
"To je telefon, který funguje bez nabíječky.",It's a phone that works without a charger.,,86
"Bydlíme v domě, který postavil náš dědeček.",We live in a house that our grandfather built.,,86
"Znáte restauraci, která podává snídani celý den.",You know a restaurant that serves breakfast all day.,,86
"Mají psa, který rád běhá podél řeky.",They have a dog that likes running along the river.,,86
