czech,english,block_id,grammar_chunk_id,
odpočívat,rest,,,
nastavit,set,,,
měl by,should,,,
nahoru,up,,,
věk,age,,,
protože,because,,,
kamera,camera,,,
šaty,dress,,,
zdarma,free,,,
nemocný,ill,,,
jako,like,,,
pamatovat,remember,,,
studium,study,,,
také,also,,,
třída,class,,,
řídit,drive,,,
velký,great,,,
změna,change,,,
setkat se,meet,,,
potřebovat,need,,,
hezký,pretty,,,
docela,quite,,,
skutečný,real,,,
vzít,take,,,
můj,my,17,9,
tvůj,your,17,9,
jeho (on),his,17,9,
její,her,17,9,
jeho (ono),its,17,9,
náš,our,17,9,
váš,your,17,9,
jejich,their,17,9,
Tomovo,Tom's,18,10,
Annina,Anna's,18,10,
lidí,people's,18,10,
studentů,students',18,10,
Tomův pes,Tom's dog,18,10,
Annina kočka,Anna's cat,18,10,
domy lidí,people's houses,18,10,
mužovo auto,man's car,18,10,
můj otec,my father,,9,
tvůj bratr,your brother,,9,
jeho sestra,his sister,,9,
její auto,her car,,9,
jeho (ono) jídlo,its food,,9,
naše škola,our school,,9,
vaše kniha,your book,,9,
jejich dům,their house,,9,
